detector_jitter_ps,frequency_detuning_ghz,gate_label,channel,full_erasure_probability,zz_flip_probability,xx_flip_probability,erasure_mutual_information_bits,total_variation_from_independent,independent_synthetic_partial_erasure_probability
15.0,0.6,180_ps,idea2_j15_d0.6_180_ps,0.049171835398404196,0.019283409070045332,0,0.2828685033839836,0.09350793200391287,0.09350793200391289
15.0,0.6,220_ps,idea2_j15_d0.6_220_ps,0.021749059393722316,0.022526083114490853,0,0.1511514955575934,0.04255207561842138,0.04255207561842131
15.0,0.6,250_ps,idea2_j15_d0.6_250_ps,0.014191560190467994,0.023751762907314577,0,0.10744759756434638,0.027980319619656642,0.02798031961965664
15.0,0.6,320_ps,idea2_j15_d0.6_320_ps,0.01022603142860904,0.02460830950623032,0,0.08228788369265888,0.02024291941966023,0.020242919419660287
15.0,0.6,450_ps,idea2_j15_d0.6_450_ps,0.009975264912181111,0.024689689297379303,0,0.08062911356169139,0.01975151800422588,0.019751518004225838
15.0,0.6,no_filter,idea2_j15_d0.6_no_filter,0.009974999999999956,0.024689832588614413,0,0.08062735640317902,0.019750998750000047,0.01975099874999991
15.0,0.9,40_ps,idea2_j15_d0.9_40_ps,0.6509510296994214,0.002448239048130421,0,0.9332158361926914,0.4544275732653687,0.4544275732653688
15.0,0.9,140_ps,idea2_j15_d0.9_140_ps,0.11833689361410207,0.030855208982000865,0,0.5245613475611963,0.20866654644773347,0.20866654644773353
15.0,0.9,180_ps,idea2_j15_d0.9_180_ps,0.049171835398404196,0.04247534257568438,0,0.2828685033839836,0.09350793200391289,0.09350793200391289
15.0,0.9,220_ps,idea2_j15_d0.9_220_ps,0.021749059393722316,0.049379225694471195,0,0.1511514955575934,0.042552075618421295,0.04255207561842131
15.0,0.9,250_ps,idea2_j15_d0.9_250_ps,0.014191560190467994,0.051935466351430336,0,0.10744759756434638,0.02798031961965664,0.02798031961965664
15.0,0.9,320_ps,idea2_j15_d0.9_320_ps,0.01022603142860904,0.05367207943531772,0,0.08228788369265888,0.020242919419660246,0.020242919419660284
15.0,0.9,450_ps,idea2_j15_d0.9_450_ps,0.009975264912181111,0.05382741394396698,0,0.08062911356169139,0.019751518004225834,0.019751518004225838
15.0,0.9,no_filter,idea2_j15_d0.9_no_filter,0.009974999999999956,0.053827649814857326,0,0.08062735640317902,0.01975099875000004,0.01975099874999991
15.0,1.2,40_ps,idea2_j15_d1.2_40_ps,0.6509510296994214,0.004331153360795885,0,0.9332158361926914,0.45442757326536876,0.45442757326536876
15.0,1.2,140_ps,idea2_j15_d1.2_140_ps,0.11833689361410207,0.053685483375329,0,0.5245613475611963,0.2086665464477335,0.20866654644773353
