pair_probability,signal_efficiency,idler_efficiency,fusion_detector_efficiency,full_success_probability,partial_failure_probability,count_rejection_probability,full_success_hidden_error_probability,hidden_error_given_full_success,partial_retained_parity_error_probability,xx_flip_marginal,zz_flip_marginal,max_full_bell_coherence
0.1,0.99,0.99,0.85,0.3530944612130593,0.3533182698895501,0.2935872688973906,0.00020962240144375998,0.0005936723015240745,0.00011190433824535556,0.00020962240144375998,0.00011190433824535556,1.898567492253469e-18
0.1,0.99,0.99,0.95,0.4407134291439958,0.4408183095794605,0.11846826127654375,8.724549920892144e-05,0.00019796424034180138,5.2440217732291506e-05,8.724549920892144e-05,5.2440217732291506e-05,1.6181688877600855e-18
0.1,0.99,0.99,0.99,0.4784558573358781,0.4784939412853126,0.04305020137880933,1.8946243295847727e-05,3.9598727877099396e-05,1.9041974717137487e-05,1.8946243295847727e-05,1.9041974717137487e-05,3.3998312833088228e-18
0.2,0.9,0.85,0.85,0.27410540441957953,0.2817541961445453,0.44414039943587524,0.004380257375711017,0.015980193404016418,0.0038243958624828746,0.004380257375711017,0.0038243958624828746,9.775158936343091e-19
0.2,0.9,0.85,0.95,0.33505735068729253,0.34084952729573353,0.32409312201697393,0.0018028878519423456,0.005380833604289352,0.002896088304220178,0.0018028878519423456,0.002896088304220178,2.3339433967937306e-18
0.2,0.9,0.85,0.99,0.36073046482112076,0.3654257762672029,0.27384375891167634,0.0003897816397913957,0.0010805342986062484,0.00234765572304085,0.0003897816397913957,0.00234765572304085,2.925261622839179e-18
0.2,0.9,0.95,0.85,0.28641990814074003,0.2891027944034747,0.42447729745578533,0.001539631428839667,0.005375434406197519,0.0013414431313670692,0.001539631428839667,0.0013414431313670692,1.1760376968949888e-18
0.2,0.9,0.95,0.95,0.3552079341673963,0.3572636678849695,0.2875283979476342,0.0006386159640010821,0.0017978651448143782,0.0010278668587864854,0.0006386159640010821,0.0010278668587864854,2.8325137424549533e-18
0.2,0.9,0.95,0.99,0.3846398460415497,0.38631413780622054,0.22904601615222975,0.00013849295715699883,0.0003600587889743448,0.0008371458823351478,0.00013849295715699883,0.0008371458823351478,1.003481877900063e-17
0.2,0.9,0.99,0.85,0.2913722442317798,0.29191963810803023,0.4167081176601899,0.00031439504440311706,0.0010790150765116226,0.00027369693812513273,0.00031439504440311706,0.00027369693812513273,2.752305856551962e-19
0.2,0.9,0.99,0.95,0.36343942375275934,0.36386083016366505,0.2726997460835756,0.00013080712618334278,0.00035991452119494964,0.00021070320545283616,0.00013080712618334278,0.00021070320545283616,1.0065311708306279e-17
0.2,0.9,0.99,0.99,0.3944618692782283,0.39480572758248883,0.21073240313928288,2.8402178540842714e-05,7.200234231210223e-05,0.00017192915213009365,2.8402178540842714e-05,0.00017192915213009365,1.7423846791771112e-18
0.2,0.95,0.85,0.85,0.3022982269853135,0.30922128746139477,0.38848048555329173,0.0050910629474517615,0.016841193539977657,0.0034615302380404662,0.0050910629474517615,0.0034615302380404662,1.993206684701006e-18
0.2,0.95,0.85,0.95,0.3690806814257313,0.3733800527243174,0.25753926584995135,0.0020941253259486817,0.00567389579389317,0.0021496856492929078,0.0020941253259486817,0.0021496856492929078,1.51770454890828e-18
0.2,0.95,0.85,0.99,0.3971723810453343,0.4000006169934073,0.20282700196125836,0.0004526329595454515,0.0011396385578326172,0.0014141179740362905,0.0004526329595454515,0.0014141179740362905,4.286750831869769e-18
0.2,0.95,0.95,0.85,0.31804399985210624,0.32048588544631135,0.3614701147015824,0.0018036462238077994,0.005671058798928807,0.0012209427971025654,0.0018036462238077994,0.0012209427971025654,1.722592839919292e-18
0.2,0.95,0.95,0.95,0.39426981366462355,0.39580522004136875,0.2099249662940077,0.0007479667405797291,0.0018970936010231046,0.000767703188372463,0.0007479667405797291,0.000767703188372463,2.5658146513188968e-18
0.2,0.95,0.95,0.99,0.4268702927954485,0.4278853380745791,0.1452443691299723,0.00016219350696903477,0.00037995969667244117,0.0005075226395652067,0.00016219350696903477,0.0005075226395652067,5.046209820901312e-19
0.2,0.95,0.99,0.85,0.3244255034910406,0.32492483038663494,0.3506496661223244,0.00036946853662941904,0.0011388393719164633,0.000249663447797188,0.00036946853662941904,0.000249663447797188,1.838632570343259e-18
0.2,0.95,0.99,0.95,0.4046356312620359,0.404951154760798,0.19041321397716615,0.00015371446005042885,0.0003798836488299413,0.000157761749380924,0.00015371446005042885,0.000157761749380924,1.4024522499481546e-18
0.2,0.95,0.99,0.99,0.43916045857873404,0.4393694616492297,0.12147007977203628,3.337548585980189e-05,7.599838557372814e-05,0.00010450153524775761,3.337548585980189e-05,0.00010450153524775761,1.3376151054398921e-18
