pair_probability,signal_efficiency,idler_efficiency,one_count_herald_probability,conditional_vacuum_probability,conditional_single_photon_probability,conditional_multiphoton_probability,conditional_hidden_fault_probability,two_pair_masked_fraction_of_valid_heralds,two_pair_hidden_fault_probability,decoder_visible_record_count,cutoff_tail_probability
0.05,0.95,0.99,0.0470720602922772,0.049952510094284454,0.9491451478623948,0.0009023420433207479,0.050854852137605204,0.0009990002500000013,0.0009040952262500011,1.0,0.0
0.05,0.99,0.85,0.040987507058607056,0.009852040250619875,0.9754982985826213,0.014649661166758799,0.024501701417378674,0.014775843750000005,0.014483282043750004,1.0,0.0
0.05,0.99,0.9,0.04318072775940002,0.009901240099256836,0.9803207970047673,0.009777962895975895,0.01967920299523273,0.009900249999999998,0.009704225049999998,1.0,0.0
0.05,0.99,0.95,0.04535147392290249,0.009950560021781999,0.9851546986599373,0.0048947413182806885,0.014845301340062688,0.0049750312500000055,0.004876525631250006,1.0,0.0
0.05,0.99,0.99,0.0470720602922772,0.009990102400774265,0.9890300279274793,0.0009798696717464618,0.010969972072520727,0.000999000250000001,0.000979220045050001,1.0,0.0
0.1,0.85,0.85,0.07884768996882167,0.14619086881840945,0.832151197075174,0.02165793410641648,0.16784880292482593,0.029106750000000004,0.02168452875,1.0,0.0
0.1,0.85,0.9,0.08264462809917357,0.14745703933968052,0.8381004250635053,0.014442535596814047,0.16189957493649457,0.019601999999999998,0.014603489999999997,1.0,0.0
0.1,0.85,0.95,0.08636145551880003,0.14872675647591338,0.8440500796382603,0.007223163885826332,0.1559499203617397,0.009900250000000011,0.007375686250000008,1.0,0.0
0.1,0.85,0.99,0.08927846765684605,0.14974507015178148,0.848810002336741,0.0014449275114775464,0.15118999766325902,0.0019960020000000024,0.0014870214900000018,1.0,0.0
0.1,0.9,0.85,0.07884768996882167,0.09731422371413903,0.8784594446143139,0.02422633167154705,0.12154055538568609,0.029106750000000008,0.023867535000000006,1.0,0.0
0.1,0.9,0.9,0.08264462809917357,0.09820631442253061,0.8856263129455241,0.016167372631945308,0.11437368705447593,0.019601999999999998,0.01607364,1.0,0.0
